STN001	20180101	15
STN002	20180102	18
STN003	20180103	20
STN004	20180104	22
STN005	20180105	19
STN001	20180106	21
STN002	20180107	23
STN003	20180108	20
STN004	20180109	25
STN005	20180110	24
STN001	20180201	18
STN002	20180202	22
STN003	20180203	21
STN004	20180204	26
STN005	20180205	27
STN001	20180301	20
STN002	20180302	24
STN003	20180303	23
STN004	20180304	29
STN005	20180305	28
STN001	20190101	10
STN002	20190102	15
STN003	20190103	12
STN004	20190104	18
STN005	20190105	17
STN001	20190201	13
STN002	20190202	19
STN003	20190203	21
STN004	20190204	23
STN005	20190205	22
STN001	20190301	14
STN002	20190302	20
STN003	20190303	19
STN004	20190304	24
STN005	20190305	25
STN001	20200101	25
STN002	20200102	27
STN003	20200103	28
STN004	20200104	30
STN005	20200105	29
STN001	20200201	26
STN002	20200202	28
STN003	20200203	29
STN004	20200204	31
STN005	20200205	30
STN001	20200301	30
STN002	20200302	32
STN003	20200303	31
STN004	20200304	35
STN005	20200305	34
